# icr-intercell gene name dictionary v0.2
#
# jamesc@icr.ac.uk, 13th May 2014
#
# This file is used as a dictionary to standardise gene names in different data sets
# Cell line names found in the first column (alias) should be converted to those
# given in the second column (gene_name).
#
# Gene name information was extracted from columns 4 and 7 in the file:
# 	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/GENE_INFO/Mammalia/Homo_sapiens.gene_info.gz
#
# This version contains 102615 alia for 47634 distinct gene names
#
# Changes: 
#   changed HGF\tSOS1 to HGF\tHGF
#	changed APC\tPROC to APC\APC
# need to address the issue of an official gene name being an alias for another gene...
#
#alias	gene_name
DDC8	TIMP2
NCRNA00071	PCGEM1
ZNFP104	ZNF195
NKX2.2	NKX2-2
MMP-25	MMP28
KRT15	KRT15
GFI1	GFI1
FHL1	HPLH1
ghHkb1	KRT81
C10orf8	COMMD3
RSK3	RPS6KA2
MIRN635	MIR635
RPL36A_15_975	RPL36AP33
PP2135	C10orf54
PDE46	PDE4A
GRASPOS	GRASPOS
HEJ1	DNAJA1P5
DBP1	DHX15
dJ734G22.2	PEX14
XCR1	XCR1
RBM6	RBM6
ACK	TNK2
LMR1	AATK
STORP	STOML1
CPLP	C3P1
LOC101928892	LOC101928892
BNIP3P27	BNIP3P27
MRPL49P2	MRPL49P2
LOC101930624	LOC101930624
RN5S124	RNA5SP124
PAPD2	TUT1
AKAP82	AKAP4
CST	CASZ1
KLF4	KLF4
IGHV3-13	IGHV3-13
UNC5CL	UNC5CL
lambdavg1	IGLVVII-41-1
TEM7R	PLXDC2
RAIDD	CRADD
ZNF374	ZDHHC4
MIRN223	MIR223
KRCC1	KRCC1
C6orf27	VWA7
NER	NR1H2
FTHP3	FTH1P13
OR51A11P	OR51A10P
DNAJC30	DNAJC30
SF3A3P	SF3A3P1
DNAJC19P6	DNAJC19P6
hPD-1	PDCD1
PSK2	TAOK1
TFEC	TFEC
ATP7B	ATP7B
RG9MTD1	TRMT10C
MIR3180-3	MIR3180-3
MIRN216A	MIR216A
GAGE-2C	GAGE2C
IL-27B	EBI3
Unc-93A	UNC93A
ACOT2	ACOT2
HIST1H4I	HIST1H4I
MYP6	MYP6
RN7SKP1	RN7SKP1
LOC100420546	LOC100420546
hLKB1	STK11
AAC2	SLC25A5
FCF1P7	FCF1P7
POLRMT	POLRMT
LOC440311	LOC440311
STMY	MMP3
DSMAV	GARS
MLIP-AS1	MLIP-AS1
NENF	NENF
TDRD14A	KDM4A
RPTPG	PTPRG
HMGN2P43	HMGN2P43
GTSF1	GTSF1
bA165P4.1	CNTRL
CUL4B	CUL4B
LOC100510709	LOC100510709
PDHBD	PDHB
LOC100131508	LOC100131508
DRIP1	C14orf28
LOC100132735	LOC100132735
IHG2	PITX2
LOC100128063	LOC100128063
LOC653486	LOC653486
EHBP1L1	EHBP1L1
CRSP85	CRSP5
MT1DP	MT1DP
LOC102723507	LOC102723507
LOC100131038	LOC100131038
YDR286C	C5orf63
LOC100129774	LOC100129774
DUX4L3	DUX4L3
LOC101929038	LOC101929038
MIR4666B	MIR4666B
NDUFB1P1	NDUFB1P1
MBLX	MBNL3
TRIM49A	TRIM49
TMED7	TMED7
PAXNEB	ELP4
VIN	LINC01191
RPS26_1_49	RPS26P14
PAWR	PAWR
TBC1D3B	TBC1D3B
GP39	CHI3L1
GLOXD1	HPDL
TTF-2	FOXE1
MU-RMS-40.18	GOLGA4
TRNAA31	TRNAA31
ASRT3	ASRT3
CXCR2P1	CXCR2P1
LINC00577	LINC00577
GAL10	CLC
SNAH	SNAI1
gp160	ENPEP
PCDH9-AS4	PCDH9-AS4
RPL26P18	RPL26P18
ARHGAP34	SRGAP2
TAB2	TAB2
MSK5X	CD99
IGK@	IGK
T1560	T1560
LOC100418753	LOC100418753
CAPZIP	RCSD1
FVL	F5
TRH-DE	TRHDE
KIF4A	KIF4A
CE-2	CES2
LINC01063	LINC01063
IFI15	ISG15
CPD	HOMER2
SNCAIP	SNCAIP
bA418P12.1	HMGCLL1
RPS19P3	RPS19P3
HH1	SCN5A
AQP-3	AQP3
SUP45L1	ETF1
hsa-mir-1304	MIR1304
BCRP	ABCG2
UPK1B	UPK1B
UGT1A8	UGT1A8
ATP6V0E1P3	ATP6V0E1P3
EDDR1	DDR1
P-450C18	CYP11B2
WFIKKN1	WFIKKN1
D(N4)	IGHD6-6
RPIP-8	RUNDC3A
RNF59	MID1
ADMCKD2	UMOD
LOC101930170	LOC101930170
C15orf60	C15orf60
SEMAW	SEMA4F
PRKMK1	MAP2K1
MRPS21P4	MRPS21P4
surf-5	MED22
TRNAF9	TRNAF9
GLDCP1	GLDCP1
LOC101928978	LOC101928978
CD177	CD177
HsT1201	SERPINB2
RNU6-2	RNU6-2
CDC7L1	CDC7
LOC574538	LOC574538
V1-18	IGLV1-50
LRRC16B	LRRC16B
FLJ13224	FLJ13224
FBX3	FBXO3
ZC2HC11A	ZFPM1
LBX1-AS1	LBX1-AS1
LOC101928464	LOC101928464
SOP2Hs	ARPC1A
SDHIP	SDHB
dJ823G15.1	PPIAP10
LRP1B	LRP1B
THR1	THRB
MIR4727	MIR4727
TMEM244	TMEM244
XAF1	XAF1
OR8G3P	OR8G3P
ANKDD1A	ANKDD1A
PARP5A	TNKS
NR3A1	ESR1
TFAP2BL1	TFAP2D
LOC101930021	LOC101930021
DAND5	DAND5
DFNB43	DFNB43
RAC1P2	RAC1P2
CASC10	CASC10
HBII-85-6	SNORD116-6
RPS17P1	RPS17P1
CCDC60	CCDC60
AFURS1	ATP13A3
LOC100194426	LOC100194426
H3FD	HIST1H3E
THOC7	THOC7
FEB1	FEB1
RNA5SP323	RNA5SP323
HSD5	RNU1-4
LOC387869	LOC387869
GGTLC2	GGTLC2
CRIPTO-4	TDGF1P4
B2M	B2M
HACC275	ACACB
LOC100129046	LOC100129046
MIR891B	MIR891B
ZNF898	SCRT1
RPS17P15	RPS17P15
POLZ	REV3L
GLIPR2	GLIPR2
LUCA15	RBM5
HERV-7q	ERVW-1
PLRG1	PLRG1
U2AFBP	U2AF1
TBC1D3P1	TBC1D3P1-DHX40P1
ZNF614	ZNF614
PARD6G	PARD6G
RNU6-79	RNU6-79P
RPS6P7	RPS6P7
P73	TP73
LINC00516	BMS1P17
MIR221	MIR221
INPP5B	INPP5B
MIR3150A	MIR3150A
UBE2J1	UBE2J1
MRG-1	CITED2
RPS8P6	RPS8P6
SEPT7P7	SEPT7P7
LOC100422338	LOC100422338
MTS-1	CDKN2A
LOC339352	LOC339352
ST3	ST3
SAFB2	SAFB2
LOC100506271	LOC100506271
NCRNA00302	LINC00302
HMSN2C	TRPV4
DNAJC25	DNAJC25
IL-18	IL18
LOC101927987	LOC101927987
MIR5571	MIR5571
G4DM	C8orf49
SIGLEC-15	SIGLEC15
NOELIN1	OLFM1
FRAG1	ATAD5
LOC102724670	LOC102724670
ILDR1beta	ILDR1
AST	SLC17A5
CLEC4M	CLEC4M
LOC102723916	LOC102723916
RN5S159	RNA5SP159
BTBD14A	NACC2
LINC01185	LINC01185
hGCP2	TUBGCP2
SNORD115-14	SNORD115-14
GYPA	GYPA
PDB	PDB1
DP2B	HLA-DPB2
SEMA3B-AS1	SEMA3B-AS1
SOAT	SLC10A6
MIRN183	MIR183
HAPRIN	TRIM36
OR52L2	OR52L2P
MIRN24-1	MIR24-1
PKP2P1	PKP2P1
P33	CENPK
FAUP1	FAUP1
CI-10k	NDUFV3
PASKIN	PASK
PLA2G1R	PLA2R1
RPL27_3_316	RPL27P8
JCG10	OR2M1P
GPR157	GPR157
FAM199X	FAM199X
C9orf30	MSANTD3
HSP90B3P	HSP90B3P
ICAS	RPSA
MTDPS13	FBXL4
TRP2	TRNAP2
P450C18	CYP11B2
TGFB	TGFB1
MDDGB14	GMPPB
30ST2	HS3ST2
V1S3	TRGV3
LOC342443	LOC342443
HEL112	RPS27A
RABGGTB	RABGGTB
ZNF140L	ZNF302
CARMA3	CARD10
BG26	HRH4
LOC285303	LOC285303
DDX57	DHX57
CALCOCO2	CALCOCO2
TBAK1	KCNK3
LOC101929641	LOC101929641
C2orf53	PRR30
AT225	EGR1
ESRRB	ESRRB
LOC284685	LOC284685
EEF1AL8	EEF1A1P10
KLRC4	KLRC4
RMB5	RBM5
UGT2B8	UGT2B15
CNN2P2	CNN2P2
M-SPONDIN	SPON2
ALI2	AMIGO1
ACATN	SLC33A1
PLAC8L1	PLAC8L1
TM4SF	TSPAN1
SAGE	SAGE1
MEKK4	MAP3K4
NAG22	CALD1
OSTN	OSTN
PROS1	PROS1
OR5AX1P	OR14A2
bA243J16.5	C20orf57
BESC1	SCNN1B
cGK1	PRKG1
LOC285043	LOC285043
sytXIV	SYT14
C7orf67	FAM188B
HEL-S-84	RCN1
MGC34796	MGC34796
RFPL3-AS	RFPL3S
SCZD17	NRXN1
LKN-1	CCL15
nessy	LPCAT3
SNX18P17	SNX18P17
MIRN1303	MIR1303
VAT1	VAT1
EDD1	UBR5
CD158A	KIR2DL1
SHANK3	SHANK3
YER112W	LSM4
ZNF757	ZFP91
RNA5SP409	RNA5SP409
THEG	THEG
OR7E61	OR7E18P
LOC101927275	LOC101927275
AUTS14	DEL16P11.2
MIRN499	MIR499A
ODF5	RHPN1
LOC101930481	LOC101930481
BBDS	FGFR2
D16S2531E	SNTB2
T2R47	TAS2R30
hCPEB-1	CPEB1
TOMM22	TOMM22
CPO	CPO
dJ553F4.4	CHMP4B
MALL	MALL
FKBPAP	GLMN
RNA5SP133	RNA5SP133
DYT3/TAF1	TAF1
BICDR-2	CCDC64B
RNU5D-1	RNU5D-1
bA249L21.4	ATP5J2P2
EPC-LIKE	EPC2
LOC100506596	LOC100506596
CGRRF1	CGRRF1
DBPC	YBX2
INOS	ISYNA1
P38BETA2	MAPK11
MNGIE	TYMP
PIANP	PIANP
MET18	MMS19
SNORD51	SNORD51
KV-BETA-3	KCNAB3
NXPE2	NXPE2
NRBI	PPP1R9A
NLRP9	NLRP9
LOC649133	LOC649133
MASL1	MFHAS1
RNA18SP2	RNA18SP2
GAL	GAL
PLPM	C14orf2
5-HT3c1	HTR3E
RDH11	RDH11
LOC100419775	LOC100419775
LOC102724738	LOC102724738
SF3B4P1	SF3B4P1
RPS7P13	RPS7P13
LOC100130618	LOC100130618
ILT8	LILRA6
dJ1022P6.3	EIF4EP1
Hsema-I	SEMA3A
RR2	RRM2
LOC100996437	LOC100996437
C14orf168	DNAL1
GSDM	GSDMA
UPA	PRAP1
ATP6B2	ATP6V1B2
C20orf107	FAM209B
RN5S508	RNA5SP508
OFD1PY9	OFD1P9Y
LOC285593	LOC285593
DAD1L	DAD1P1
MRXS15	CUL4B
GOLGA5P1	GOLGA5P1
NPHP3	NPHP3
PCDH-ALPHA1	PCDHA1
UDG2	CCNO
FRA10D	FRA10D
PN5	SCN11A
TSEN54	TSEN54
ATP6G3	ATP6V1G3
AICAR	ATIC
KAB	CEP170
RPL11P2	RPL11P2
HMGXB4	HMGXB4
RBMXL1	RBMXL1
NPC-A-13	HSBP1
LOC102724511	LOC102724511
IKK-alpha	CHUK
CRTAP	CRTAP
STYXL1	STYXL1
PCDH3I	PCDHB8
SGT1P	SUGT1P1
RCGAP72	ARHGAP24
Gcap14	CCSER2
RPS6_10_1296	RPS6P20
TRNAP6	TRNAP6
THEM4P1	THEM4P1
G9A	EHMT2
PSORS2	CARD14
RNU7-79P	RNU7-79P
RPSAP20	RPSAP20
FECHP	FECHP1
RPL34P28	RPL34P28
CEACAMP11	CEACAMP11
VIAF1	PDCL3
ATP5F1P5	ATP5F1P5
MIR1251	MIR1251
RPS12P27	RPS12P27
HSPC104	BACE1
AUTSX6	TMLHE
SETP20	SETP20
ZNF298	PRDM15
FACL6	ACSL6
CCDC129	CCDC129
MRO	MRO
ACER3	ACER3
LOC100500773	LOC100500773
RPL21P136	RPL21P136
RPL22P16	RPL22P16
DIPP2beta	NUDT4
CAP-3	SERPINB9
SCF	KITLG
ZFYVE9	ZFYVE9
ADAM-TS13	ADAMTS13
RPL34P10	RPL34P10
GBA2	GBA2
CD146	MCAM
IFN-alpha4a	IFNA4
LOC101929745	LOC101929745
TL132	USP32P2
CMVFR	TAPT1
NPM1P29	NPM1P29
DYZ1L6	DYZ1L6
FMNL1	FMNL1
Apo-2L	TNFSF10
GIBT	MRPS22
RPS4XP20	RPS4XP20
IEDA	GPR149
USP38	USP38
TRNAY4	TRNAY4
ZNF453	ZSCAN23
BMND7	BMND7
AITD2	AITD2
ED1R	EDAR
LOC100421971	LOC100421971
SMG1P5	SMG1P5
MTRNS	MARS
LOC102724708	LOC102724708
LOC100132977	LOC100132977
hsa-mir-1537	MIR1537
CRARF	MASP1
LOC100130101	LOC100130101
hsa-mir-6840	MIR6840
RHOQP1	RHOQP1
NEU2	NEU2
CSN5	COPS5
LOC102724440	LOC102724440
LOC102725493	LOC102725493
LOC101927270	LOC101927270
LOC100418525	LOC100418525
PNMA6B	PNMA6B
HMGN2P22	HMGN2P22
dJ776F14.2	SIRPB2
Ckb-6	CCL24
ZNF775	ZNF775
Rrp46p	EXOSC5
ARKL1	C18orf25
UCKL1	UCKL1
HB4	KRT84
LOC100421937	LOC100421937
RBM4B	RBM4B
KRTAP10-5	KRTAP10-5
OGFRL1	OGFRL1
C1orf96	CCSAP
TRNAV20	TRNAV20
BMF	BMF
dJ1104E15.3	MIEF1
RBMY1A1	RBMY1A1
PRKN	PARK2
TEL	ETV6
SLRR5B	PODNL1
LOC102724570	LOC102724570
PLAP1	ASPN
EDA2	EDA
LOC399715	LOC399715
SNORD109A	SNORD109A
RPB2	POLR2B
LOC645960	LOC645960
OR14-60	OR2F1
bA424I5.1	NKAPL
MVCD1	VEGFA
C4BR	CR1
LOC102725217	LOC102725217
AVPR V1a	AVPR1A
LOC101929674	LOC101929674
MRRF2	GFM2
BNIP3P12	BNIP3P12
PRAMEF14	PRAMEF14
CTNNB	CTNNB1
KNSL5	KIF23
PP12719	PP12719
LOC100421991	LOC100421991
TULP3P1	TULP3P1
LMNB1	LMNB1
CKMT1B	CKMT1B
RNA5SP259	RNA5SP259
FAM19A5	FAM19A5
HsT2542	PA2G4P3
SHE	SHE
IFIT1B	IFIT1B
CVID4	TNFRSF13C
FAM197Y3	FAM197Y3
HMGN2P10	HMGN2P10
vU1.18	RNVU1-18
HVH1	DUSP1
LOC101930563	LOC101930563
MIRN142	MIR142
LOC101927914	LOC101927914
DFNB93	CABP2
MIR6854	MIR6854
PTGER2	PTGER2
PNUTS	PPP1R10
NDUFA5P6	NDUFA5P6
LOC100533942	LOC100533942
IFT172	IFT172
bA371L19.3	FAM110A
H2BFF	HIST1H2BB
C15orf26	C15orf26
WAP3	PI3
COMMD1	COMMD1
SYNX	AOMS1
ZNFN4A1	ZNHIT1
STAI4	SOCS6
PDNP3	ENPP3
LOC100996349	LOC100996349
NTRK2	NTRK2
MFGE8	MFGE8
SEMDJL2	KIF22
ENTHD1	ENTHD1
STC-2	STC2
NPMP6	NPM1P6
XIPAN	FRMD7
RNF16	TRIM17
PPEF1-AS1	PPEF1-AS1
LOC102723814	LOC102723814
LDM	CYP51A1
LOC100996255	LOC100996255
MTCO1P3	MTCO1P3
LCLAT1	LCLAT1
HP-041	FGL1
Z32	SCARNA9
AQDQ	NDUFS4
LOC100418494	LOC100418494
NCC-3	CCL15
CLIC4	CLIC4
ACDMPV	FOXF1
LOC102723782	LOC102723782
PPMT	ICMT
ALOX5AP	ALOX5AP
BMIQ14	BMIQ14
COPD24	COPD24
C19orf18	C19orf18
PCS	PCS
LOC100996294	LOC100996294
APOC1P1	APOC1P1
MRPL20P1	MRPL20P1
FRA7B	FRA7B
CYPJ	PPIL3
PC7	PCSK7
ASIC5	ASIC5
ATP13A2	ATP13A2
BRICD3	LECT1
RPS10_12_1588	RPS10P27
MEP1AP1	MEP1AP1
RPS14_4_530	RPS14P7
IGHV461	IGHV4-61
ERPL2	ERPL2
CAPNS1	CAPNS1
NIPA2P2	NIPA2P2
RPL8_1_438	RPL8P4
CD36L1	SCARB1
muCL	CAPN1
DXS253E	SLC10A3
OR2C1	OR2C1
MMS	MMS
GALR3	GALR3
KKA3	KIR2DS4
CYB5B	CYB5B
IGKV2D-26	IGKV2D-26
TB2	REEP5
CPXM1	CPXM1
CACNA1C-AS1	CACNA1C-AS1
SLC23A4	SLC23A4P
RNASEH1P1	RNASEH1P1
RNU45A	SNORD45A
ATG1	ULK1
SMHC	MYH11
CYRP	CSRP1
lin-10	C16orf70
SAMD2	SARM1
HBP	HEBP1
CYSLTR1	CYSLTR1
CICP17	CICP17
BILIQTL1	UGT1A1
NA-14	SSNA1
SCP-2	SCP2
ZNF10	ZNF10
TM4SF2b	TSPAN7
LOC101927087	LOC101927087
TAS2R62P	TAS2R62P
TBC1D3G	TBC1D3F
LOC100422041	LOC100422041
LQK1	FLVCR1-AS1
RNF155	DTX4
CYP2D8P	CYP2D8P
CREB1	CREB1
AFAP1AS	AFAP1-AS1
RNA5SP143	RNA5SP143
DUPXP11.23P11.22	DUPXP11.23P11.22
C9orf57	C9orf57
NAA38	NAA38
MIR4682	MIR4682
V4-8P	IGLVIV-64
bA12D24.3.2	RLN1
PNAS146	MCM7
PCDH-GAMMA-A2	PCDHGA2
MIRN548E	MIR548E
FELS	PLVAP
LOC392196	LOC392196
PPR1	PPR1
AK3L2P	AK4P3
ROPN1B	ROPN1B
SEPT7B	SEPT7P2
BEND8	NACC1
MIR4299	MIR4299
RNU7-37P	RNU7-37P
MCOLN3	MCOLN3
CIAP2	BIRC3
IBMPFD2	HNRNPA2B1
dJ585I14.2	TASP1
GPIa*	MMRN1
ZNRF3	ZNRF3
LDS3	SMAD3
HSPC281	ACTR6
DFNB23	PCDH15
PSD4	PSD4
MYH12	MYO5A
MUNC18-3	STXBP3
ENPEP	ENPEP
GIYD1	SLX1A
SHISA4	SHISA4
